Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	Интервьюер	Информант
00:13:29.532	00:13:30.489	00:00:00.957	Угу.	
00:13:30.489	00:13:31.468	00:00:00.979	Хорошо.	
00:13:31.468	00:13:33.128	00:00:01.660	А(0.4) и последний вопрос:	
00:13:33.128	00:13:35.170	00:00:02.042	а(0.4) какой номер вам больше всего понравился?	
00:13:35.170	00:13:36.532	00:00:01.362	Вот то есть вот капустник,	
00:13:36.575	00:13:37.617	00:00:01.042	Вот вы говорили.	
00:13:37.617	00:13:38.064	00:00:00.447	Э(0.4) вот, 	
00:13:38.064	00:13:39.979	00:00:01.915	какой вам больше всего понравился?	
00:13:39.936	00:13:46.617	00:00:06.681		М-мне понра-авилось вот как раз про этих жён, которые |ES|
00:13:46.617	00:13:51.553	00:00:04.936		А(0.1) как раз а(0.6) а(0.6) Царица амазонок Ипполита,
00:13:51.553	00:13:52.638	00:00:01.085		которая требовала. …(0.6)
00:13:52.638	00:13:53.745	00:00:01.107		Потом Аурелия -
00:13:53.745	00:13:54.617	00:00:00.872		это куклы.
00:13:55.064	00:13:56.596	00:00:01.532		И э(0.3) "Затмение солнца",
00:13:56.596	00:13:59.319	00:00:02.723		жена-а Алексея Максимовича Горького …(0.7) а(0.2),
00:13:59.319	00:14:00.085	00:00:00.766		вот,
00:14:00.085	00:14:02.085	00:00:02.000		к= когда они делили его.
00:14:02.106	00:14:02.851	00:00:00.745		Кто ценнее?
00:14:02.851	00:14:03.681	00:00:00.830		Кто?!
00:14:03.681	00:14:04.894	00:00:01.213		Кто настоящая?
00:14:04.894	00:14:05.851	00:00:00.957		Кого он любит?
00:14:05.872	00:14:12.915	00:00:07.043		Кого || кому он || кто нужнее этому замечательному, этому м(0.4) громадному человечище.
00:14:12.915	00:14:14.447	00:00:01.532		Так сказать самый человечный человек.
00:14:14.447	00:14:16.404	00:00:01.957		Вот это мне,
00:14:16.426	00:14:16.681	00:00:00.255		да,
00:14:16.681	00:14:17.851	00:00:01.170		Мне больше это запомнилось.
00:14:17.851	00:14:19.638	00:00:01.787		Почему-то сразу это возникло.
00:14:20.213	00:14:20.575	00:00:00.362	Угу.	
00:14:20.617	00:14:20.979	00:00:00.362		Угу
00:14:20.681	00:14:21.660	00:00:00.979	Спасибо большое	

